"Number of Vertices","Number of edges","Average Key Comparisons"
"Varying V, Fixed E","513","523719.0"
"Varying V, Fixed E","514","522085.0"
"Varying V, Fixed E","515","519539.0"
"Varying V, Fixed E","516","516473.0"
"Varying V, Fixed E","517","536383.0"
"Varying V, Fixed E","518","532159.0"
"Varying V, Fixed E","519","517374.0"
"Varying V, Fixed E","520","518206.0"
"Varying V, Fixed E","521","526212.0"
"Varying V, Fixed E","522","525476.0"
"Varying V, Fixed E","523","531621.0"
"Varying V, Fixed E","524","529254.0"
"Varying V, Fixed E","525","540164.0"
"Varying V, Fixed E","526","535397.0"
"Varying V, Fixed E","527","541431.0"
"Varying V, Fixed E","528","543491.0"
"Varying V, Fixed E","529","547897.0"
"Varying V, Fixed E","530","572405.0"
"Varying V, Fixed E","531","547337.0"
"Varying V, Fixed E","532","568860.0"
"Varying V, Fixed E","533","574384.0"
"Varying V, Fixed E","534","556316.0"
"Varying V, Fixed E","535","563666.0"
"Varying V, Fixed E","536","577093.0"
"Varying V, Fixed E","537","557979.0"
"Varying V, Fixed E","538","570293.0"
"Varying V, Fixed E","539","581542.0"
"Varying V, Fixed E","540","561371.0"
"Varying V, Fixed E","541","560422.0"
"Varying V, Fixed E","542","569362.0"
"Varying V, Fixed E","543","568547.0"
"Varying V, Fixed E","544","566828.0"
"Varying V, Fixed E","545","574395.0"
"Varying V, Fixed E","546","592042.0"
"Varying V, Fixed E","547","577043.0"
"Varying V, Fixed E","548","578911.0"
"Varying V, Fixed E","549","587036.0"
"Varying V, Fixed E","550","591762.0"
"Varying V, Fixed E","551","601144.0"
"Varying V, Fixed E","552","593304.0"
"Varying V, Fixed E","553","582825.0"
"Varying V, Fixed E","554","594720.0"
"Varying V, Fixed E","555","622142.0"
"Varying V, Fixed E","556","624498.0"
"Varying V, Fixed E","557","599899.0"
"Varying V, Fixed E","558","592051.0"
"Varying V, Fixed E","559","603035.0"
"Varying V, Fixed E","560","607895.0"
"Varying V, Fixed E","561","611626.0"
"Varying V, Fixed E","562","613492.0"
"Varying V, Fixed E","563","631449.0"
"Varying V, Fixed E","564","614507.0"
"Varying V, Fixed E","565","622795.0"
"Varying V, Fixed E","566","621545.0"
"Varying V, Fixed E","567","622077.0"
"Varying V, Fixed E","568","625808.0"
"Varying V, Fixed E","569","652287.0"
"Varying V, Fixed E","570","652003.0"
"Varying V, Fixed E","571","655806.0"
"Varying V, Fixed E","572","658739.0"
"Varying V, Fixed E","573","663956.0"
"Varying V, Fixed E","574","742343.0"
"Varying V, Fixed E","575","701387.0"
"Varying V, Fixed E","576","669276.0"
"Varying V, Fixed E","577","648455.0"
"Varying V, Fixed E","578","700720.0"
"Varying V, Fixed E","579","851053.0"
"Varying V, Fixed E","580","721107.0"
"Varying V, Fixed E","581","672077.0"
"Varying V, Fixed E","582","686215.0"
"Varying V, Fixed E","583","690903.0"
"Varying V, Fixed E","584","666153.0"
"Varying V, Fixed E","585","667056.0"
"Varying V, Fixed E","586","671617.0"
"Varying V, Fixed E","587","669004.0"
"Varying V, Fixed E","588","675729.0"
"Varying V, Fixed E","589","681525.0"
"Varying V, Fixed E","590","677348.0"
"Varying V, Fixed E","591","686071.0"
"Varying V, Fixed E","592","680333.0"
"Varying V, Fixed E","593","675494.0"
"Varying V, Fixed E","594","673206.0"
"Varying V, Fixed E","595","674035.0"
"Varying V, Fixed E","596","677937.0"
"Varying V, Fixed E","597","683920.0"
"Varying V, Fixed E","598","683476.0"
"Varying V, Fixed E","599","694540.0"
"Varying V, Fixed E","600","701237.0"
"Varying V, Fixed E","601","690087.0"
"Varying V, Fixed E","602","700145.0"
"Varying V, Fixed E","603","697031.0"
"Varying V, Fixed E","604","701160.0"
"Varying V, Fixed E","605","696517.0"
"Varying V, Fixed E","606","711183.0"
"Varying V, Fixed E","607","700729.0"
"Varying V, Fixed E","608","763710.0"
"Varying V, Fixed E","609","767051.0"
"Varying V, Fixed E","610","761115.0"
"Varying V, Fixed E","611","750351.0"
"Varying V, Fixed E","612","780832.0"
"Varying V, Fixed E","613","732835.0"
"Varying V, Fixed E","614","723649.0"
"Varying V, Fixed E","615","729128.0"
"Varying V, Fixed E","616","730033.0"
"Varying V, Fixed E","617","733301.0"
"Varying V, Fixed E","618","731336.0"
"Varying V, Fixed E","619","736576.0"
"Varying V, Fixed E","620","751685.0"
"Varying V, Fixed E","621","750922.0"
"Varying V, Fixed E","622","749770.0"
"Varying V, Fixed E","623","769995.0"
"Varying V, Fixed E","624","739259.0"
"Varying V, Fixed E","625","746869.0"
"Varying V, Fixed E","626","756424.0"
"Varying V, Fixed E","627","762240.0"
"Varying V, Fixed E","628","772211.0"
"Varying V, Fixed E","629","771731.0"
"Varying V, Fixed E","630","786881.0"
"Varying V, Fixed E","631","785555.0"
"Varying V, Fixed E","632","817521.0"
"Varying V, Fixed E","633","805264.0"
"Varying V, Fixed E","634","800832.0"
"Varying V, Fixed E","635","772832.0"
"Varying V, Fixed E","636","772505.0"
"Varying V, Fixed E","637","813639.0"
"Varying V, Fixed E","638","790245.0"
"Varying V, Fixed E","639","796505.0"
"Varying V, Fixed E","640","811951.0"
"Varying V, Fixed E","641","854890.0"
"Varying V, Fixed E","642","845699.0"
"Varying V, Fixed E","643","813042.0"
"Varying V, Fixed E","644","817191.0"
"Varying V, Fixed E","645","817114.0"
"Varying V, Fixed E","646","828625.0"
"Varying V, Fixed E","647","835132.0"
"Varying V, Fixed E","648","817614.0"
"Varying V, Fixed E","649","853161.0"
"Varying V, Fixed E","650","892860.0"
"Varying V, Fixed E","651","858022.0"
"Varying V, Fixed E","652","868634.0"
"Varying V, Fixed E","653","845003.0"
"Varying V, Fixed E","654","833078.0"
"Varying V, Fixed E","655","842804.0"
"Varying V, Fixed E","656","838064.0"
"Varying V, Fixed E","657","841679.0"
"Varying V, Fixed E","658","846530.0"
"Varying V, Fixed E","659","846534.0"
"Varying V, Fixed E","660","875840.0"
"Varying V, Fixed E","661","865355.0"
"Varying V, Fixed E","662","897988.0"
"Varying V, Fixed E","663","868986.0"
"Varying V, Fixed E","664","879223.0"
"Varying V, Fixed E","665","882573.0"
"Varying V, Fixed E","666","869865.0"
"Varying V, Fixed E","667","859295.0"
"Varying V, Fixed E","668","853438.0"
"Varying V, Fixed E","669","855381.0"
"Varying V, Fixed E","670","877402.0"
"Varying V, Fixed E","671","876800.0"
"Varying V, Fixed E","672","936676.0"
"Varying V, Fixed E","673","854900.0"
"Varying V, Fixed E","674","866708.0"
"Varying V, Fixed E","675","861829.0"
"Varying V, Fixed E","676","869013.0"
"Varying V, Fixed E","677","887578.0"
"Varying V, Fixed E","678","886707.0"
"Varying V, Fixed E","679","886508.0"
"Varying V, Fixed E","680","868357.0"
"Varying V, Fixed E","681","915380.0"
"Varying V, Fixed E","682","915710.0"
"Varying V, Fixed E","683","886485.0"
"Varying V, Fixed E","684","889698.0"
"Varying V, Fixed E","685","905295.0"
"Varying V, Fixed E","686","921353.0"
"Varying V, Fixed E","687","907842.0"
"Varying V, Fixed E","688","901078.0"
"Varying V, Fixed E","689","928870.0"
"Varying V, Fixed E","690","964179.0"
"Varying V, Fixed E","691","942390.0"
"Varying V, Fixed E","692","925273.0"
"Varying V, Fixed E","693","948364.0"
"Varying V, Fixed E","694","962002.0"
"Varying V, Fixed E","695","987095.0"
"Varying V, Fixed E","696","971810.0"
"Varying V, Fixed E","697","938610.0"
"Varying V, Fixed E","698","937542.0"
"Varying V, Fixed E","699","930532.0"
"Varying V, Fixed E","700","956029.0"
"Varying V, Fixed E","701","956576.0"
"Varying V, Fixed E","702","1019010.0"
"Varying V, Fixed E","703","951469.0"
